r,R  2/ 1,R  3/ 1,R  4/ 1,R  5/ 1,I  2/ 1,I  3/ 1,I  4/ 1,I  5/ 1
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
0.001,-3.12449013e-05,9.01480409e-05,2.12035327e-07,-3.07489895e-06,0.000106665653,-9.3589203e-05,6.79279944e-07,6.75354725e-06
0.002,-0.000129672284,0.000660519128,1.14624798e-06,1.01269479e-06,0.000423080067,-0.000676014015,6.93465302e-06,9.26975548e-06
0.003,-0.000301064245,0.00219214792,3.73341948e-06,4.38764349e-06,0.000945588261,-0.00214719306,3.22824973e-05,1.04378937e-05
0.004,-0.000550677753,0.00518922193,8.12866359e-06,5.04985706e-06,0.00166747752,-0.00479709969,9.97595e-05,1.78064288e-05
0.005,-0.000883870691,0.0101756056,1.26752915e-05,2.73104099e-06,0.00257922362,-0.00880010676,0.000242064005,3.7394836e-05
0.006,-0.00130554334,0.017684437,1.2440966e-05,-4.37856297e-06,0.00366909968,-0.0142139476,0.00050147158,7.53114778e-05
0.007,-0.00181970196,0.028243955,-2.29675886e-06,-1.99394062e-05,0.00492368803,-0.0209831207,0.000929509231,0.000138448365
0.008,-0.00242914883,0.0423622386,-4.75993799e-05,-4.95403028e-05,0.00632837717,-0.0289453226,0.00158628813,0.000234190072
0.009,-0.00313532477,0.0605125769,-0.000147388604,-0.000100830228,0.00786785684,-0.0378401495,0.00253948661,0.000369904824
0.01,-0.00393824638,0.0831203418,-0.000334887703,-0.000183596903,0.00952658429,-0.0473195365,0.00386301066,0.000552422413
0.011,-0.00483655135,0.110551819,-0.000653910194,-0.000309747269,0.0112892081,-0.056959437,0.00563536075,0.000787534796
0.012,-0.00582761099,0.143105188,-0.00115994525,-0.000493186543,0.0131409361,-0.0662723353,0.00793774677,0.00107953211
0.013,-0.00690771294,0.181003696,-0.00192098194,-0.000749606039,0.0150678376,-0.0747201934,0.0108519954,0.00143078545
0.014,-0.00807228023,0.224390983,-0.00301803662,-0.00109619209,0.017057079,-0.0817275159,0.014458301,0.00184138694
0.015,-0.00931612468,0.273328444,-0.00454534684,-0.00155127157,0.0190970863,-0.0866942258,0.0188328756,0.00230885499
0.016,-0.0106337073,0.327794467,-0.00661021576,-0.00213390818,0.0211776408,-0.0890081137,0.0240455551,0.0028279117
0.017,-0.012019403,0.387685374,-0.00933249409,-0.00286346541,0.023289908,-0.0880566411,0.0301574218,0.00339033548
0.018,-0.0134677477,0.452817875,-0.0128437044,-0.00375915026,0.025426409,-0.0832379382,0.0372185018,0.00398489124
0.019,-0.0149736678,0.522932804,-0.0172858176,-0.00483955225,0.0275809373,-0.0739708552,0.0452655959,0.00459733666
0.02,-0.0165326755,0.597699953,-0.0228097055,-0.00612219055,0.0297484349,-0.0597039807,0.0543202945,0.0052105027
0.021,-0.018141031,0.676723791,-0.0295732981,-0.00762308143,0.0319248308,-0.0399235548,0.0643872302,0.00580444296
0.022,-0.0197958637,0.759549863,-0.0377394859,-0.00935633639,0.0341068573,-0.0141602559,0.0754526045,0.00635664584
0.023,-0.0214952528,0.845671686,-0.0474738124,-0.0113337978,0.0362918458,0.0180051363,0.0874830305,0.00684230078
0.024,-0.0232382652,0.934537976,-0.0589420065,-0.0135647208,0.0384775187,0.0569371818,0.100424713,0.00723461169
0.025,-0.0250249544,1.02556005,-0.072307406,-0.0160555064,0.0406617781,0.102942298,0.114202988,0.00750514834
0.026,-0.0268563198,1.11811925,-0.0877283278,-0.0188094903,0.0428425055,0.156266291,0.12872223,0.00762422705
0.027,-0.0287342334,1.2115743,-0.105355437,-0.0218267879,0.0450173724,0.217092845,0.143866128,0.00756131082
0.028,-0.0306613356,1.30526846,-0.125329168,-0.0251041978,0.047183673,0.285542879,0.159498324,0.00728541993
0.029,-0.0326409058,1.3985364,-0.147777253,-0.0286351608,0.049338178,0.361674695,0.175463399,0.00676554419
0.03,-0.0346767147,1.49071078,-0.172812395,-0.0324097742,0.0514770173,0.445484835,0.191588184,0.00597104851
0.031,-0.0367728603,1.58112834,-0.200530144,-0.0364148558,0.0535955882,0.536909544,0.207683368,0.00487206475
0.032,-0.0389335966,1.66913565,-0.231006993,-0.0406340557,0.0556884954,0.635826773,0.223545366,0.00343986472
0.033,-0.0411631573,1.75409435,-0.264298728,-0.0450480147,0.0577495203,0.742058667,0.238958421,0.00164720923
0.034,-0.0434655824,1.8353859,-0.300439062,-0.0496345613,0.0597716207,0.855374447,0.253696885,-0.000531332617
0.035,-0.0458445491,1.91241589,-0.33943856,-0.0543689387,0.0617469566,0.975493583,0.267527647,-0.00311909801
0.036,-0.0483032144,1.98461782,-0.381283876,-0.059224059,0.0636669427,1.10208921,0.280212671,-0.00613708187
0.037,-0.0508440694,2.0514564,-0.425937312,-0.0641707765,0.0655223222,1.23479169,0.291511575,-0.00960372624
0.038,-0.053468811,2.1124305,-0.473336683,-0.0691781759,0.0673032618,1.37319236,0.30118425,-0.0135347484
0.039,-0.0561782326,2.16707553,-0.523395486,-0.0742138699,0.0689994625,1.51684729,0.308993432,-0.0179430073
0.04,-0.0589721336,2.2149655,-0.576003378,-0.0792442996,0.070600283,1.66528107,0.314707233,-0.022838408
0.041,-0.0618492513,2.25571471,-0.631026917,-0.0842350351,0.0720948731,1.81799063,0.31810156,-0.0282278421
0.042,-0.0648072126,2.28897901,-0.688310575,-0.08915107,0.073472312,1.97444903,0.318962409,-0.0341151612
0.043,-0.0678425084,2.31445678,-0.747677963,-0.0939571124,0.0747217516,2.13410916,0.317088012,-0.0405011833
0.044,-0.0709504886,2.33188953,-0.80893327,-0.0986178646,0.0758325595,2.2964074,0.31229081,-0.0473837255
0.045,-0.0741253771,2.34106232,-0.871862877,-0.103098287,0.076794458,2.46076725,0.304399228,-0.0547576647
0.046,-0.0773603049,2.3418038,-0.93623713,-0.107363848,0.0775976587,2.62660272,0.293259243,-0.0626150203
0.047,-0.0806473616,2.3339861,-1.00181223,-0.111380752,0.0782329879,2.79332173,0.278735733,-0.0709450572
0.048,-0.0839776609,2.31752449,-1.06833224,-0.11511615,0.0786920028,2.96032934,0.260713597,-0.0797344059
0.049,-0.0873414205,2.29237679,-1.13553112,-0.118538334,0.0789670964,3.12703083,0.239098656,-0.0889671952
0.05,-0.0907280532,2.25854268,-1.20313484,-0.121616906,0.0790515887,3.29283473,0.213818309,-0.0986251968
0.051,-0.094126267,2.21606281,-1.27086351,-0.124322928,0.0789398058,3.4571556,0.184821974,-0.108687976
0.052,-0.0975241727,2.16501775,-1.3384335,-0.126629061,0.0786271444,3.61941683,0.152081293,-0.119133046
0.053,-0.100909398,2.10552683,-1.40555953,-0.12850968,0.0781101193,3.77905323,0.115590148,-0.129936031
0.054,-0.104269207,2.03774674,-1.47195666,-0.129940985,0.0773863968,3.93551362,0.0753644683,-0.141070827
0.055,-0.107590615,1.96187007,-1.5373423,-0.130901081,0.0764548136,4.08826319,0.0314418501,-0.152509764
0.056,-0.110860509,1.87812367,-1.60143808,-0.131370056,0.0753153827,4.23678578,-0.0161189962,-0.16422377
0.057,-0.114065761,1.78676697,-1.66397161,-0.131330036,0.0739692849,4.38058594,-0.0672389598,-0.176182532
0.058,-0.117193341,1.6880901,-1.72467815,-0.130765228,0.0724188483,4.51919095,-0.121819386,-0.188354656
0.059,-0.12023042,1.58241196,-1.78330216,-0.129661958,0.0706675166,4.65215257,-0.179743062,-0.200707821
0.06,-0.123164471,1.4700782,-1.8395987,-0.128008688,0.0687198063,4.77904874,-0.240875313,-0.21320894
0.061,-0.12598336,1.35145914,-1.89333472,-0.125796028,0.0665812542,4.89948503,-0.305065211,-0.225824303
0.062,-0.128675424,1.22694751,-1.94429016,-0.123016736,0.0642583587,5.01309594,-0.372146841,-0.238519731
0.063,-0.131229551,1.09695622,-1.9922589,-0.119665722,0.0617585201,5.11954603,-0.441940584,-0.251260718
0.064,-0.133635246,0.961915947,-2.03704959,-0.115740048,0.0590899752,5.21853085,-0.514254418,-0.264012576
0.065,-0.135882687,0.822272773,-2.0784863,-0.111238909,0.0562617286,5.30977772,-0.58888526,-0.276740576
0.066,-0.137962782,0.678485799,-2.11640911,-0.106163616,0.0532834801,5.39304625,-0.665620324,-0.289410077
0.067,-0.139867209,0.531024777,-2.1506745,-0.100517563,0.0501655507,5.4681288,-0.744238478,-0.30198666
0.068,-0.14158845,0.380367785,-2.18115569,-0.0943061853,0.0469188055,5.53485069,-0.824511604,-0.31443625
0.069,-0.143119821,0.226998955,-2.20774287,-0.0875369121,0.0435545775,5.59307032,-0.90620595,-0.326725232
0.07,-0.144455493,0.0714063171,-2.23034332,-0.0802191028,0.0400845871,5.64267905,-0.989083508,-0.338820554
0.071,-0.14559048,-0.0859201933,-2.24888123,-0.0723639661,0.0365208625,5.68360046,-1.07290333,-0.350689799
0.072,-0.146520632,-0.244490579,-2.26329742,-0.0639844877,0.0328756695,5.71578956,-1.15742287,-0.362301239
0.073,-0.147242683,-0.403817162,-2.27354971,-0.0550954195,0.0291614442,5.73923386,-1.24239929,-0.373624032
0.074,-0.147754259,-0.563417074,-2.27961285,-0.045713244,0.0253907207,5.7539534,-1.3275907,-0.384628376
0.075,-0.148053858,-0.722814495,-2.28147781,-0.0358561058,0.0215760548,5.75999924,-1.41275712,-0.395285564
0.076,-0.148140832,-0.881542736,-2.27915138,-0.0255437389,0.0177299565,5.75745253,-1.49766156,-0.405568072
0.077,-0.148015369,-1.03914621,-2.27265567,-0.0147973853,0.0138648256,5.74642342,-1.58207098,-0.415449649
0.078,-0.147678473,-1.19518234,-2.26202757,-0.00363970861,0.00999289326,5.72704997,-1.66575726,-0.42490541
0.079,-0.147131932,-1.34922337,-2.24731813,0.00790529543,0.00612616824,5.69949678,-1.74849805,-0.433911922
0.08,-0.1463783,-1.5008582,-2.22859192,0.0198123855,0.00227639187,5.66395353,-1.83007742,-0.442447295
0.081,-0.145420872,-1.64969423,-2.20592639,0.0320551552,-0.0015450072,5.62063337,-1.91028628,-0.450491274
0.082,-0.144263675,-1.79535911,-2.17941123,0.044606121,-0.00532696975,5.56977115,-1.98892265,-0.458025305
0.083,-0.142911409,-1.93750126,-2.14914769,0.0574368961,-0.00905882922,5.51162166,-2.06579255,-0.465032548
0.084,-0.141369399,-2.0757903,-2.11524787,0.0705183652,-0.0127303428,5.44645787,-2.14071077,-0.471497897
0.085,-0.139643548,-2.20991749,-2.07783396,0.0838208333,-0.0163317226,5.37456919,-2.2135014,-0.477407985
0.086,-0.137740297,-2.33959617,-2.03703751,0.0973141613,-0.0198536604,5.29625973,-2.28399828,-0.482751202
0.087,-0.135666587,-2.46456219,-1.99299861,0.110967891,-0.0232873471,5.21184652,-2.35204526,-0.487517712
0.088,-0.133429814,-2.58457419,-1.94586515,0.124751367,-0.026624488,5.12165772,-2.41749652,-0.491699466
0.089,-0.131037794,-2.69941393,-1.895792,0.138633847,-0.0298573116,5.02603073,-2.48021658,-0.495290222
0.09,-0.128498731,-2.80888652,-1.84294031,0.152584606,-0.0329785732,4.92531037,-2.54008035,-0.498285564
0.091,-0.125821204,-2.91282085,-1.78747691,0.166573011,-0.035981569,4.81984686,-2.59697274,-0.500682928
0.092,-0.123014146,-3.01106974,-1.72957382,0.180568591,-0.0388601782,4.70999389,-2.6507883,-0.502481576
0.093,-0.120086783,-3.10350904,-1.66940749,0.194541217,-0.0416088475,4.59610734,-2.70143183,-0.503682521
0.094,-0.117048568,-3.19003658,-1.60715796,0.208461272,-0.0442225963,4.47854415,-2.74881897,-0.504288427
0.095,-0.113909131,-3.27057142,-1.54300818,0.222299767,-0.0466970314,4.35766121,-2.79287644,-0.504303521
0.096,-0.11067823,-3.34505319,-1.47714323,0.236028436,-0.0490283553,4.23381421,-2.83354219,-0.503733519
0.097,-0.10736571,-3.41344145,-1.40974963,0.249619817,-0.0512133704,4.10735651,-2.87076539,-0.502585559
0.098,-0.103981455,-3.47571506,-1.34101462,0.263047313,-0.0532494783,3.97863804,-2.90450642,-0.500868146
0.099,-0.100535355,-3.53187167,-1.27112538,0.27628525,-0.0551346783,3.84800414,-2.93473668,-0.498591098
0.1,-0.0970373187,-3.5819288,-1.20026899,0.289309045,-0.0568675902,3.71579615,-2.96143973,-0.495765745
0.101,-0.0934973662,-3.62592881,-1.12863333,0.302095707,-0.0584475415,3.582355,-2.98461517,-0.492405613
0.102,-0.0899253812,-3.66393193,-1.05640397,0.314623399,-0.0598744904,3.44801238,-3.00427264,-0.488525413
0.103,-0.0863309153,-3.69600794,-0.983761541,0.326870868,-0.0611488766,3.31308405,-3.02042621,-0.484139978
0.104,-0.0827232946,-3.72223964,-0.910882833,0.338817836,-0.0622716594,3.17787496,-3.03309829,-0.479264809
0.105,-0.0791116203,-3.74272347,-0.837940777,0.350445162,-0.0632443139,3.04268055,-3.04232074,-0.473916192
0.106,-0.0755047309,-3.75756858,-0.765103928,0.361734857,-0.0640688034,2.90778626,-3.04813451,-0.468111116
0.107,-0.0719111734,-3.76689604,-0.692536004,0.372670079,-0.0647475512,2.77346712,-3.05058922,-0.461867199
0.108,-0.0683391786,-3.77083795,-0.620395468,0.383235138,-0.0652834101,2.63998726,-3.04974268,-0.455202623
0.109,-0.0647966409,-3.76953673,-0.548835171,0.393415485,-0.0656796304,2.50759949,-3.04566039,-0.448136082
0.11,-0.0612911045,-3.76314428,-0.478002058,0.403197711,-0.0659398278,2.37654486,-3.03841498,-0.440686733
0.111,-0.0578297559,-3.75182133,-0.40803702,0.412569525,-0.0660679582,2.24705221,-3.02808557,-0.43287416
0.112,-0.0544194106,-3.73573666,-0.339074811,0.421519724,-0.0660683021,2.1193378,-3.01475724,-0.424718323
0.113,-0.0510664995,-3.71506624,-0.271243661,0.43003821,-0.0659454213,1.99360531,-2.9985207,-0.416239487
0.114,-0.0477770522,-3.68999233,-0.20466496,0.43811599,-0.0657041248,1.87004583,-2.97947197,-0.407458146
0.115,-0.0445566853,-3.66070276,-0.13945305,0.445745158,-0.0653494413,1.74883797,-2.95771208,-0.39839496
0.116,-0.0414105962,-3.62739017,-0.0757150919,0.452918875,-0.0648865929,1.63014789,-2.93334657,-0.389070694
0.117,-0.0383435596,-3.59025139,-0.0135509585,0.459631339,-0.06432097,1.51412951,-2.9064852,-0.379506157
0.118,-0.0353599216,-3.54948673,0.0469468693,0.465877747,-0.0636581097,1.40092479,-2.87724159,-0.369722139
0.119,-0.0324635852,-3.50529932,0.105693515,0.471654254,-0.062903679,1.29066429,-2.84573308,-0.359739319
0.12,-0.0296579698,-3.45789442,0.162612256,0.476957929,-0.0620634523,1.18346815,-2.81208086,-0.349578169
0.121,-0.026945962,-3.4074785,0.217635981,0.481786834,-0.0611432272,1.07944754,-2.77641047,-0.339258846
0.122,-0.0243299415,-3.35425842,0.270708982,0.486140287,-0.0601486774,0.978705939,-2.73885188,-0.328801096
0.123,-0.021811769,-3.29843874,0.321784854,0.490018121,-0.0590853864,0.881336553,-2.69953507,-0.31822411
0.124,-0.0193928695,-3.24022234,0.370824793,0.493420583,-0.0579588886,0.787421083,-2.65858862,-0.307546734
0.125,-0.0170743225,-3.17981574,0.417797515,0.496349226,-0.056774745,0.69703027,-2.61614344,-0.296788109
0.126,-0.0148568712,-3.1174282,0.462679171,0.498806975,-0.0555385036,0.610222961,-2.57233176,-0.285967637
0.127,-0.0127409161,-3.05326809,0.505452877,0.500797729,-0.054255627,0.527045123,-2.52728429,-0.275104675
0.128,-0.0107265294,-2.98754197,0.546108459,0.50232635,-0.0529314774,0.447529938,-2.48112972,-0.26421847
0.129,-0.00881346808,-2.92045381,0.584642223,0.50339865,-0.0515713044,0.371698112,-2.43399439,-0.253328091
0.13,-0.00700118257,-2.8522043,0.621056765,0.50402137,-0.0501802323,0.299558355,-2.38600206,-0.242452351
0.131,-0.00528882572,-2.78299013,0.655360949,0.504202186,-0.0487632394,0.231108019,-2.33727376,-0.231609734
0.132,-0.0036752756,-2.71300345,0.687569933,0.503949732,-0.0473251308,0.16633375,-2.28792762,-0.220818307
0.133,-0.00215914757,-2.64243131,0.717704508,0.503273524,-0.045870548,0.105211659,-2.2380784,-0.210095689
0.134,-0.000738817726,-2.57145516,0.745790521,0.502183896,-0.0444039686,0.0477075422,-2.18783714,-0.199459004
0.135,0.000587554264,-2.50025035,0.771858458,0.50069197,-0.0429296985,-0.00622273882,-2.13731084,-0.188924835
0.136,0.00182200641,-2.42898564,0.7959431,0.498809612,-0.041451862,-0.0566327678,-2.08660225,-0.178509173
0.137,0.00296675693,-2.35782274,0.818083187,0.496549392,-0.0399743935,-0.103585026,-2.03580967,-0.168227362
0.138,0.00402418593,-2.28691593,0.838321076,0.493924534,-0.0385010292,-0.147150319,-1.9850268,-0.158094055
0.139,0.00499681375,-2.21641168,0.85670235,0.490948864,-0.0370352992,-0.187407223,-1.93434259,-0.148123169
0.14,0.00588727262,-2.1464483,0.873275302,0.487636764,-0.0355805244,-0.224441585,-1.883841,-0.138327846
0.141,0.00669828293,-2.0771557,0.888090177,0.48400308,-0.0341398321,-0.258346135,-1.83360093,-0.128720441
0.142,0.00743265976,-2.00865625,0.901198817,0.480063228,-0.032716193,-0.289220176,-1.78369721,-0.119312593
0.143,0.00809328261,-1.94106421,0.912654869,0.475833145,-0.0313123765,-0.317168476,-1.73420042,-0.110115109
0.144,0.00868307617,-1.87448363,0.922513016,0.471328757,-0.0299308988,-0.342299837,-1.6851753,-0.101137788
0.145,0.00920500731,-1.80900876,0.930828915,0.466565957,-0.0285740368,-0.364726104,-1.63668124,-0.0923894355
0.146,0.00966207935,-1.74472514,0.937659385,0.461560757,-0.0272438529,-0.384561501,-1.58877326,-0.0838779145
0.147,0.0100573187,-1.68170977,0.943062176,0.456329233,-0.0259422011,-0.401921962,-1.54150209,-0.075610143
0.148,0.0103937597,-1.6200312,0.947095699,0.45088748,-0.0246707317,-0.416924558,-1.49491423,-0.0675921057
0.149,0.010674426,-1.55974969,0.949818712,0.445251555,-0.0234308957,-0.429687029,-1.44905199,-0.059828869
0.15,0.0109023044,-1.50091732,0.951289852,0.439437443,-0.0222239554,-0.440327449,-1.40395338,-0.0523246003
0.151,0.0110803271,-1.44357808,0.951566801,0.433460938,-0.0210510148,-0.448964053,-1.35965218,-0.0450826161
0.152,0.0112113875,-1.38776796,0.950705397,0.427337447,-0.0199130529,-0.455715001,-1.31617815,-0.0381054921
0.153,0.0112983105,-1.33351545,0.948760383,0.421082081,-0.0188109007,-0.460697421,-1.27355724,-0.0313949938
0.154,0.0113438548,-1.28084216,0.945785952,0.414709657,-0.0177452274,-0.464026557,-1.231812,-0.0249520712
0.155,0.0113507214,-1.22976327,0.941835857,0.408234636,-0.016716546,-0.465815179,-1.19096182,-0.0187768892
0.156,0.0113215536,-1.18028807,0.936963362,0.401671082,-0.015725225,-0.46617318,-1.15102318,-0.0128688666
0.157,0.0112589338,-1.13242039,0.931221121,0.395032614,-0.0147714991,-0.465207288,-1.11200984,-0.00722671959
0.158,0.0111653829,-1.08615925,0.924661266,0.388332456,-0.0138554822,-0.463020935,-1.07393323,-0.0018485119
0.159,0.0110433703,-1.04150022,0.917336205,0.38158378,-0.0129771852,-0.459714516,-1.03680349,0.00326830638
0.16,0.0108953013,-0.998434694,0.909297726,0.374799293,-0.0121365025,-0.455384762,-1.00062856,0.00812687908
0.161,0.0107235011,-0.956948957,0.900595907,0.36799075,-0.0113331958,-0.45012394,-0.965412877,0.0127308913
0.162,0.0105302111,-0.917025523,0.891279969,0.361169295,-0.0105669077,-0.44402006,-0.931158374,0.0170845501
0.163,0.0103175992,-0.878643774,0.881398225,0.354345552,-0.00983718452,-0.437157181,-0.897864966,0.0211924987
0.164,0.0100877546,-0.841780167,0.870997749,0.347529612,-0.00914348992,-0.429615517,-0.865530625,0.0250597612
0.165,0.00984268068,-0.806408458,0.860124216,0.340731028,-0.00848521305,-0.421471499,-0.83415144,0.0286917034
0.166,0.00958429146,-0.772499946,0.848821824,0.333958829,-0.00786167393,-0.412797805,-0.803721688,0.0320939953
0.167,0.00931441034,-0.740023734,0.837133248,0.327221516,-0.00727212926,-0.403663376,-0.774233948,0.0352725749
0.168,0.0090347703,-0.708946979,0.825099619,0.320527071,-0.00671577873,-0.394133434,-0.745679212,0.0382336143
0.169,0.00874701577,-0.679235167,0.812760515,0.31388296,-0.00619177147,-0.384269495,-0.718047022,0.0409834854
0.17,0.00845270645,-0.650852378,0.800154015,0.307296135,-0.00569921062,-0.37412938,-0.691325603,0.0435287271
0.171,0.00815331879,-0.62376157,0.787316834,0.300773065,-0.00523715378,-0.363767227,-0.665501965,0.0458760248
0.172,0.00785023983,-0.597924844,0.774284474,0.294319782,-0.00480461374,-0.353233526,-0.64056196,0.0480322158
0.173,0.00754477077,-0.57330338,0.761090741,0.287941757,-0.00440056788,-0.34257516,-0.616490204,0.0500042111
0.174,0.0072381109,-0.549856401,0.747765951,0.281643287,-0.00402396391,-0.331834847,-0.593268911,0.0517988416
0.175,0.00693137439,-0.527542471,0.734338256,0.275428038,-0.00367374002,-0.321051925,-0.570879207,0.053422893
0.176,0.00662561317,-0.506321374,0.720836067,0.26929997,-0.0033488393,-0.310263541,-0.549303082,0.0548832663
0.177,0.00632180431,-0.486153343,0.707286983,0.263262944,-0.00304820182,-0.299504234,-0.528522497,0.056186908
0.178,0.00602084403,-0.466998564,0.693716965,0.257320411,-0.00277076335,-0.288805664,-0.508518792,0.0573407305
0.179,0.00572354952,-0.448817306,0.680150354,0.251475426,-0.00251545962,-0.278196723,-0.489272764,0.0583515907
0.18,0.00543065985,-0.431570035,0.666609873,0.245730664,-0.00228123091,-0.267703655,-0.470764757,0.0592262721
0.181,0.00514283825,-0.415217513,0.653116598,0.240088425,-0.00206702811,-0.257350183,-0.452974757,0.0599714626
0.182,0.00486067798,-0.399720893,0.639689928,0.234550633,-0.00187181784,-0.247157632,-0.43588251,0.0605937208
0.183,0.00458470192,-0.385041852,0.626347733,0.229118871,-0.00169458306,-0.237145017,-0.419467574,0.0610994822
0.184,0.00431536595,-0.371142715,0.613106482,0.223794404,-0.00153432332,-0.227329135,-0.403709391,0.0614950534
0.185,0.00405306345,-0.357986552,0.599981322,0.218578199,-0.00139005651,-0.217724669,-0.388587364,0.061786601
0.186,0.00379812886,-0.345537263,0.586986133,0.213470938,-0.00126082109,-0.208344294,-0.374080922,0.061980142
0.187,0.00355083931,-0.33375957,0.574133468,0.208472996,-0.00114567811,-0.199198764,-0.360169506,0.062081527
0.188,0.00331141477,-0.322618826,0.561434154,0.2035843,-0.00104371331,-0.190296881,-0.346832362,0.0620963841
0.189,0.0030800244,-0.312081343,0.548897843,0.198804537,-0.000954038799,-0.181645806,-0.334048964,0.0620301491
0.19,0.00285678991,-0.302114746,0.536533611,0.194133379,-0.000875797324,-0.173251373,-0.321799353,0.0618881436
0.191,0.00264178582,-0.292687739,0.524349522,0.189570343,-0.000808165379,-0.165118078,-0.310063932,0.0616755238
0.192,0.00243504724,-0.283770008,0.512352409,0.185114718,-0.000750356232,-0.157249129,-0.298823446,0.0613972251
0.193,0.00223656856,-0.275332283,0.500548078,0.18076561,-0.000701617578,-0.149646518,-0.288058973,0.0610579924
